web-scraper-order,web-scraper-start-url,article_link,article_link-href,etat,details,adresse,prix,image_link-src
"1739145064-11","https://www.expat-dakar.com/equipements-pieces?page=39","Lecteur mp3 pour voiture
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        13. janv., 11:59
                                    
                    6 500 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/lecteur-mp3-pour-voiture-4983904","Neuf","Le lecteur mp3 t10 Bluetooth est un appareil conçu pour les voitures.

Il est équipé d'un module Bluetooth professionnel haute qualité et d'une puce de décodeur. En effet il peut lire;transmettre la musique de votre téléphone à l'autoradio via Bluetooth. Il est également utilisé comme kit voitures main libre pendant les déplacements

Il peut aussi recevoir ou emmetre des appels depuis votre smartphone. Il est équipé d'un port usb3.0 pour le chargement d'un téléphone.

Livraison possible partout au senegal","Liberte 6","6 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5895f8b872dde8750031c2cb9bacf3f7/-/horizon-files-prod/ed/picture/q945mr8/379676e3254ece95b849de1b053c97edcb3b42e5.jpg"
"1739145084-12","https://www.expat-dakar.com/equipements-pieces?page=39","Chargeur sans fil auto
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        lundi, 12:37
                                    
                    7 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/chargeur-sans-fil-auto-3772127","Neuf","Wiwu liberateur il est un petit support pour smartphone doté d'un support d'aspiration et d'une fonction de charge sans fil. l'accessoire vous permet de fixer confortablement le gadget dans n'importe quelle voiture, éliminant ainsi le risque de chute. la puissance maximale du modèle atteint 10 w et la norme qui est utilisée pour la charge. livraison possible","Grand-Dakar","7 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/630ca8aed819bc74b052ab96fa5dd457/-/horizon-files-prod/ed/picture/qnqd980/8e355d413f858043d798b2c1f09cdebecff74d8e.jpg"
"1739145104-13","https://www.expat-dakar.com/equipements-pieces?page=39","Bache auto 4×4 pvc doublé en coton
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        13. janv., 11:56
                                    
                    25 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/bache-auto-44-pvc-double-en-coton-4998928","Neuf","Couvre-voiture en pvc extrêmement imperméable à l'eau .ce Bâche est fabriqué à partir de la technologie des coutures ultrasonique pour éviter les trous d'épingle et empêche l'eau de s'infiltrer dans la couture. C'est une housse de protection respirant,imperméable et doublé à l'intérieur de coton doux.

La Bâche est légère et ne pèse pas plus 5kg dans son emballage.

Ces Bâches sont très utiles dans cette période d'hivernage,de poussière,de pluie,de soleil

Les prix commencent à partir du prix affiché

Livraison possible partout au senegal","Liberte 6","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/44ae58da76ac5dafa3bcd14025be8da8/-/horizon-files-prod/ed/picture/qwqnjkm/724ea9ce34a970be62277de8a8961fe1fd238a41.jpg"
"1739145107-14","https://www.expat-dakar.com/equipements-pieces?page=39","Bache auto berline
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        18. déc. '24, 10:37
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/bache-auto-berline-4998939","Neuf","Couvre-voiture en pvc extrêmement imperméable à l'eau. Ce Bâche est fabriqué à partir de la nouvelle technologie des coutures ultrasonique pour éviter les trous d'épingle et empêche l'eau de s'infiltrer dans les coutures c'est une housse de protection respirant imperméable et doublé en coton doux.

La Bâche est légère et ne pèse pas plus de 5kg dans son emballage Ce qui veut dire c'est pas encombrant.

Les prix commencent à partir du prix affiché

Livraison possible partout au senegal","Liberte 6","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a16d229ce8959dcad45c82ed246202ef/-/horizon-files-prod/ed/picture/q2p85wd/25e7c99c09795e60d63825c37daa59a03b3855a3.jpg"
"1739145109-15","https://www.expat-dakar.com/equipements-pieces?page=39","Maxy compresseur Air 35L
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        17. janv., 14:55
                                    
                    1 F Cfa
                        
                        782126969","https://www.expat-dakar.com/annonce/maxy-compresseur-air-35l-5055814","Neuf","MAXI REVOLUTION'AIR 35L 3HP

Ce compresseur de puissance élevée (3HP) et de grande cuve (35 litres) est adapté à tous les types de travaux importants (peinture, mécanique,...). Il est simple à entretenir (sans huile), facile à déplacer (grandes roues) et facile à ranger (vertical). Il possède une desserte range-outils qui peut être dissociée et un dispositif range câble. Doté de 2 sorties rapides pour travaux multiples et équipé d'un kit de soufflage-dépoussiérage.

Volume cuve

35 LPuissance

3 HPAir restitué à 7 bar

150 L/mn

PRODUIT","Plateau","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd331a330e2e930dd634760bfacdab3e/-/horizon-files-prod/ed/picture/qk9ve4z/3ef8ba0ff61b8b8f6b50d5fa37fb4ab954ed9ac0.jpg"
"1739145112-16","https://www.expat-dakar.com/equipements-pieces?page=39","Chargeur AC voiture 12V  câble USB 1 mètre
                                Neuf
                                                                                    Golf,
                                                                                Dakar
                                    
                                        13. janv., 09:13
                                    
                    1 000 F Cfa
                        
                        784074746
                    
                        784485061
                    
                        781932453","https://www.expat-dakar.com/annonce/chargeur-ac-voiture-12v-cable-usb-1-metre-5079781","Neuf","DURACELL Chargeur AC voiture 12V 1A avec cable micro USB 1 mètre","Golf","1 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/30ed564b3474e7caf09d294fd8a63216/-/horizon-files-prod/ed/picture/qjvg4zr/c19fa8e717e67eaa7413ff31ae311a688b9c0661.jpg"
"1739145114-17","https://www.expat-dakar.com/equipements-pieces?page=39","Bâches auto(berline)
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        11. déc. '24, 14:18
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-autoberline-5127089","Neuf","Housse de protection voiture (bâches)en pvc ,extrêmement imperméable à l'eau. Ce Bâche est fabriqué à partir de la nouvelle technologie des coutures ultrasonique pour éviter les trous d'épingle et empêche l'eau de s'infiltrer dans les coutures.

C'est une housse de protection respirant et doublé à l'intérieur de coton doux .

La bâches est légère et ne pèse pas plus de 5kg dans son emballage.

NB:les prix commencent à partir du prix affiché.

Livraison possible partout au senegal","Liberte 6","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4a8c4daf118a37989e73c68dee8c24f/-/horizon-files-prod/ed/picture/q7nem5m/1e512ce4cd8ace74a798a68711c5728da351f0da.jpg"
"1739145117-18","https://www.expat-dakar.com/equipements-pieces?page=39","Bâches suv;4×4
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        mardi, 20:45
                                    
                    25 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-suv44-5127093","Neuf","Couvre-voiture(bâches)en pvc extrêmement imperméable à l'eau.

Ce bâche est fabriqué à partir de la nouvelle technologie des coutures ultrasonique pour éviter les trous d'épingle et empêche l'eau de s'infiltrer dans les coutures.

C'est une housse de protection respirant et doublé à l'intérieur de coton doux.

La bâche est légère et ne pèse pas plus de 5kg dans son emballage

Livraison possible partout au senegal","Liberte 6","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c7f8b1f9408a0c81cf54ab295da3ae9/-/horizon-files-prod/ed/picture/qnrmzxv/04943fb28cfb9973dd77302f0f1e884b0b4b4cd3.jpg"
"1739145120-19","https://www.expat-dakar.com/equipements-pieces?page=39","Bâches auto
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        13. janv., 11:54
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-auto-4868926","Neuf","Bâches berline :couvre-voiture en pvc doublé en coton doux à l'intérieur. En plus d'être imperméable,ce Bâche est fabriqué de la technologie des coutures ultrasonique pour éviter les trois d'épingle et empêche l'eau de s'infiltrer dans les coutures.

C'est une housse de protection respirant et légère ne pesant pas plus de 5kg dans son emballage.

NB:les prix commencent à partir du prix affiché

Livraison possible partout dans le senegal","Liberte 6","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/60a2f180c0468049060335eef4f45086/-/horizon-files-prod/ed/picture/q9pqkv7/fc18cbf11f53d1e0d66b38ef978e82bebe227c28.jpg"
"1739145124-20","https://www.expat-dakar.com/equipements-pieces?page=38","Transmetteur / modulateur Fm multifonction
                                Neuf
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        2. janv., 16:18
                                    
                    1 000 F Cfa
                        
                        784074746
                    
                        784485061
                    
                        781932453","https://www.expat-dakar.com/annonce/transmetteur-modulateur-fm-multifonction-3468109","Neuf","Transmetteur / modulateur Fm multifonction avec interface USB, FM, carte memoire et auxiliaire  avec telecommande","Parcelles Assainies","1 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a6f591948fabb2a191e5e7284c832d98/-/horizon-files-prod/ed/picture/q4wv9mr/db5f3a076ae92e7c8da3331725ab0965e77c0e60.jpg"
"1739145127-21","https://www.expat-dakar.com/equipements-pieces?page=38","Chargeur AC voiture 12V 1A  cable micro USB
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        10. janv., 11:09
                                    
                    1 000 F Cfa
                        
                        781932453
                    
                        784074746
                    
                        784485061","https://www.expat-dakar.com/annonce/chargeur-ac-voiture-12v-1a-cable-micro-usb-5100907","Neuf","DURACELL Chargeur AC voiture 12V 1A avec cable micro USB 1 mètre","Patte d‘oie","1 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a86aab64f4db25c06b8d0334f44f947e/-/horizon-files-prod/ed/picture/qqpe446/19b4a0d0b1c54672e96fd5fc82a2605e62f8b7e2.jpg"
"1739145129-22","https://www.expat-dakar.com/equipements-pieces?page=38","Bâches auto (couvre-voiture) pour suv,4×4,berline
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        13. janv., 11:51
                                    
                    25 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-auto-couvre-voiture-pour-suv44berline-5345562","Neuf","Nous mettons en vente des bâches en pvc doublé en coton doux à l'intérieur .cet housse de protection respirant est extrêmement imperméable à l'eau et fabriqué à partir de la nouvelle technologie des coutures ultrasonique pour éviter les trous d'épingle et empêche l'eau de s'infiltrer dans les coutures. C'est une bâche très légère et ne pèse pas plus de 5kg dans son emballage. Livraison possible partout au senegal

Nb :pour Berline 20000fr

Pour 4×4,suv 25000fr","Liberte 6","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/de385b14a02600cd9ace197e385f6422/-/horizon-files-prod/ed/picture/qder8rjw/543132ad43b640a51d82b87b26f73fd7529d7e0e.jpg"
"1739145156-23","https://www.expat-dakar.com/equipements-pieces?page=38","Tapis pose pieds pour véhicule
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        30. déc. '24, 17:02
                                    
                    15 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/tapis-pose-pieds-pour-vehicule-5347507","Neuf","Nous mettons en vente des tapis pose pieds pour toutes les marques de véhicules.

Ce sont des tapis de très bonnes et authentique

Livraison possible partout au senegal","Liberte 6","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/aed313566fa0378b8887485b5a34236c/-/horizon-files-prod/ed/picture/qq4q028v/5e1ca271c140bdb20ee8a789722589d3a4dff6d2.jpg"
"1739145160-24","https://www.expat-dakar.com/equipements-pieces?page=38","Huile moto 4T 10W-40
                                Neuf
                                                                                    Dieuppeul,
                                                                                Dakar
                                    
                                        vendredi, 09:17
                                    
                    5 000 F Cfa
                        
                        777786487
                    
                        777786556
                    
                        787991111","https://www.expat-dakar.com/annonce/huile-moto-4t-10w-40-5358654","Neuf","100% synthétique

Huile pour moto 4T

SL 10W-40","Dieuppeul","5 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/059858e09fe2a2bdfff6745e8a22c563/-/horizon-files-prod/ed/picture/qrz2prk8/5ea50f75bdfbedd2979be87bc0d71a44dcd4900d.jpg"
"1739145165-25","https://www.expat-dakar.com/equipements-pieces?page=38","elm 327 nouvelles versions bluetooth
                                Neuf
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        10. janv., 12:48
                                    
                    15 000 F Cfa
                        
                        781600325
                    
                        775334359","https://www.expat-dakar.com/annonce/elm-327-nouvelles-versions-bluetooth-2867641","Neuf","327 nouvelles versions bluetooth application téléphone toute marque de voiture jusqu'à 2021 essence, diesel, hybride","Yoff","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b9ed4c84188fd6967bb10bb66aaf208/-/horizon-files-prod/ed/picture/q58p9er/31f6428638557339b06a9cd8d4c8edf979e01c79.jpg"
"1739145168-26","https://www.expat-dakar.com/equipements-pieces?page=38","Mini Traceur -; localisation GPS GF-07
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        jeudi, 19:12
                                    
                    7 000 F Cfa
                        
                        781932453
                    
                        784074746
                    
                        784485061","https://www.expat-dakar.com/annonce/mini-traceur-localisation-gps-gf-07-5469806","Neuf","Mini Traceur -; localisation GPS GF-07","Patte d‘oie","7 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/01513eecba371f38322953fba702cb20/-/horizon-files-prod/ed/picture/qweenxr5/137a9a6a755c4ecf888610d5ceae1fad75eb2b04.jpg"
"1739145171-27","https://www.expat-dakar.com/equipements-pieces?page=38","Housse intérieure pour véhicule en simili cuir
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        11. déc. '24, 14:13
                                    
                    45 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/housse-interieure-pour-vehicule-en-simili-cuir-5507831","Neuf","Pour un habitable chic, class et un confort hors du commun, découvrez nos housses en simili cuir lavable ,durable et confortable .

Avec ces housses vous pouvez donner un nouveau design à votre véhicule et protéger vos sièges.

Livraison possible partout au senegal

NB:les prix commencent à partir du prix affiché","Liberte 6","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dc1439b317f37714fb8a1449d6db321d/-/horizon-files-prod/ed/picture/q444m5ve/58545fac03bc62a20102b1b5710b24d27d98d43c.jpg"
"1739145173-28","https://www.expat-dakar.com/equipements-pieces?page=38","Bâches auto(4×4,suv,berline)
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        11. déc. '24, 14:09
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-auto44suvberline-5517438","Neuf","Couvre-voiture (bâches) en pvc extrêmement imperméable à l'eau. Cette bâche est fabriqué à partir de la nouvelle technologie des coutures ultrasonique pour éviter les trous d'épingle et empêche l'eau de s'infiltrer dans les coutures .c'est une housse de protection respirant et doublé en coton doux à l'intérieur.

La bâche est légère et pèse moins de 5kg dans son emballage.

Les prix commencent à partir du prix affiché.

Pour 4×4 ou suv c'est à 25000fr

Pour Berline (petit véhicule) c'est à 20000fr

Livraison possible partout au senegal","Liberte 6","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/94dfbbd06a6ff5f84657d54f49f240c7/-/horizon-files-prod/ed/picture/qpddq6rr/4d1c1cc279a874ab1be569b77c1544145733d0f7.jpg"
"1739145194-29","https://www.expat-dakar.com/equipements-pieces?page=38","Mini scanner Outil de diagnostic voitures Bluetooth ELM327
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        jeudi, 11:45
                                    
                    7 000 F Cfa
                        
                        781932453
                    
                        784074746
                    
                        784485061","https://www.expat-dakar.com/annonce/mini-scanner-outil-de-diagnostic-voitures-bluetooth-elm327-5545998","Neuf","Mini scanner auto OBD2 - Outil de diagnostic voitures Bluetooth  pour Windows Android - ELM327","Patte d‘oie","7 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/783109230e4ee1a03a27d617ae241019/-/horizon-files-prod/ed/picture/qrzzm9m9/c719379133bcb09edc4f483b604924219fda5712.jpg"
"1739145199-30","https://www.expat-dakar.com/equipements-pieces?page=37","Clé démonte roue
                                Neuf
                                                                                    Mbour,
                                                                                Thiès
                                    
                                        11. déc. '24, 05:52
                                    
                    13 000 F Cfa
                        
                        774086089
                    
                        778540224","https://www.expat-dakar.com/annonce/cle-demonte-roue-5561742","Neuf","Clé démonte roue pour changer facilement vos pneus.

Grand levier, desserre également les vis bloquées.

Fourni avec deux clés à douille: 17/19 et 21/23 mm.","Mbour","13 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e890cde5936527cd07a1c1f702c95eac/-/horizon-files-prod/ed/picture/qennkpv2/6d942f031d0d9a73ce3bd6a25d921ba9a4ffa541.jpg"
"1739145201-31","https://www.expat-dakar.com/equipements-pieces?page=37","Bâches auto(4×4,suv,berline)
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        18. déc. '24, 10:35
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-auto44suvberline-5517427","Neuf","Couvre-voiture (bâches) en pvc extrêmement imperméable à l'eau. Cette bâche est fabriqué à partir de la nouvelle technologie des coutures ultrasonique pour éviter les trous d'épingle et empêche l'eau de s'infiltrer dans les coutures .c'est une housse de protection respirant et doublé en coton doux à l'intérieur.

La bâche est légère et pèse moins de 5kg dans son emballage.

Les prix commencent à partir du prix affiché.

Pour 4×4 ou suv c'est à 25000fr

Pour Berline (petit véhicule) c'est à 20000fr

Livraison possible partout au senegal","Liberte 6","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/274cd057d2f81b50bc8d4414e81d3387/-/horizon-files-prod/ed/picture/qnggnx8x/056e83b79ce28deca35d75200e552e728b88304f.jpg"
"1739145204-32","https://www.expat-dakar.com/equipements-pieces?page=37","Bache Voiture 4x4
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        26. déc. '24, 14:53
                                    
                    25 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/bache-voiture-4x4-2874446","Neuf","Extrêmement étanche

film respirant étanche à l'eau et à la pluie. la technologie des coutures ultrasoniques pour éviter les trous d'épingle empêche l'eau de s'infiltrer dans les coutures.

quantité de bâche voiture housse de protection respirant imperméable coton doux .

nb: les prix commencent à partir du prix afficher.

livraison possible","Grand-Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/787e3afd162fadb75338a2625cc56711/-/horizon-files-prod/ed/picture/qv5d22v/28826204bd1d65e03d64a8e57ae2117ba8f43ef4.png"
"1739145206-33","https://www.expat-dakar.com/equipements-pieces?page=37","JEEP GRAND CHEROKEE BOITE DE VITESSE AUTOMATIQUE
                                D'occasion
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        26. janv., 18:46
                                    
                    1 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236","https://www.expat-dakar.com/annonce/jeep-grand-cherokee-boite-de-vitesse-automatique-5632647","D'occasion","Je vend une boîte de vitesse automatique P68249075AB

Annee: 2016. Nous consulter pour le prix

Type de Carrosserie: SUV

Position du volant: gauche

Roue motrices: Arrière

Type de Carburant: Essence

Capacité du moteur cm3: 3600

Puissance du moteur, kw: 1

Type de Boîte de vitesses: automatique

Couleur: Rouge

Kilométrage, km: 30 000","Colobane","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f1a92413f2adc66fa4896cd5c5dbc75/-/horizon-files-prod/ed/picture/q0g2pm6d/ee708fcce62a6cf9738ffc376d06570d90a595cc.jpg"
